page_id,category,subcategory,gt_rel,html_rel,clean_rel,digital_rel,real_rel,real_chain_label,real_chain_cn,paper_condition,lighting_condition,capture_method,page_info_image_path,page_info_matches_expected
01_academic/01_journal_paper/academic_paper_001_JACS_催化反应动力学,01_academic,01_journal_paper,01_academic/01_journal_paper/academic_paper_001_JACS_催化反应动力学.json,01_academic/01_journal_paper/academic_paper_001_JACS_催化反应动力学.html,01_academic/01_journal_paper/academic_paper_001_JACS_催化反应动力学.png,01_academic/01_journal_paper/academic_paper_001_JACS_催化反应动力学.png,01_academic/01_journal_paper/academic_paper_001_JACS_催化反应动力学__real_screen_na_screen_screen.png,screen_photography,拍屏,无(屏幕显示),屏幕背光+室内光,手机对屏幕,01_academic/01_journal_paper/academic_paper_001_JACS_催化反应动力学.png,true
01_academic/01_journal_paper/academic_paper_002_Nature_深度学习理论,01_academic,01_journal_paper,01_academic/01_journal_paper/academic_paper_002_Nature_深度学习理论.json,01_academic/01_journal_paper/academic_paper_002_Nature_深度学习理论.html,01_academic/01_journal_paper/academic_paper_002_Nature_深度学习理论.png,01_academic/01_journal_paper/academic_paper_002_Nature_深度学习理论.png,01_academic/01_journal_paper/academic_paper_002_Nature_深度学习理论__real_phone_flat_normal_top.png,phone_flat_indoor_normal_top,手机拍纸质文档,平整,室内正常光,俯拍,01_academic/01_journal_paper/academic_paper_002_Nature_深度学习理论.png,true
01_academic/01_journal_paper/academic_paper_003_物理学报_拓扑超导,01_academic,01_journal_paper,01_academic/01_journal_paper/academic_paper_003_物理学报_拓扑超导.json,01_academic/01_journal_paper/academic_paper_003_物理学报_拓扑超导.html,01_academic/01_journal_paper/academic_paper_003_物理学报_拓扑超导.png,01_academic/01_journal_paper/academic_paper_003_物理学报_拓扑超导.png,01_academic/01_journal_paper/academic_paper_003_物理学报_拓扑超导__real_phone_flat_normal_top.png,phone_flat_indoor_normal_top,手机拍纸质文档,平整,室内正常光,俯拍,01_academic/01_journal_paper/academic_paper_003_物理学报_拓扑超导.png,true
01_academic/01_journal_paper/academic_paper_004_IEEE_TSP_信号处理,01_academic,01_journal_paper,01_academic/01_journal_paper/academic_paper_004_IEEE_TSP_信号处理.json,01_academic/01_journal_paper/academic_paper_004_IEEE_TSP_信号处理.html,01_academic/01_journal_paper/academic_paper_004_IEEE_TSP_信号处理.png,01_academic/01_journal_paper/academic_paper_004_IEEE_TSP_信号处理.png,01_academic/01_journal_paper/academic_paper_004_IEEE_TSP_信号处理__real_phone_flat_normal_top.png,phone_flat_indoor_normal_top,手机拍纸质文档,平整,室内正常光,俯拍,01_academic/01_journal_paper/academic_paper_004_IEEE_TSP_信号处理.png,true
01_academic/01_journal_paper/academic_paper_005_计算机学报_图神经网络,01_academic,01_journal_paper,01_academic/01_journal_paper/academic_paper_005_计算机学报_图神经网络.json,01_academic/01_journal_paper/academic_paper_005_计算机学报_图神经网络.html,01_academic/01_journal_paper/academic_paper_005_计算机学报_图神经网络.png,01_academic/01_journal_paper/academic_paper_005_计算机学报_图神经网络.png,01_academic/01_journal_paper/academic_paper_005_计算机学报_图神经网络__real_phone_flat_normal_top.png,phone_flat_indoor_normal_top,手机拍纸质文档,平整,室内正常光,俯拍,01_academic/01_journal_paper/academic_paper_005_计算机学报_图神经网络.png,true
01_academic/01_journal_paper/academic_paper_006_Lancet_临床试验,01_academic,01_journal_paper,01_academic/01_journal_paper/academic_paper_006_Lancet_临床试验.json,01_academic/01_journal_paper/academic_paper_006_Lancet_临床试验.html,01_academic/01_journal_paper/academic_paper_006_Lancet_临床试验.png,01_academic/01_journal_paper/academic_paper_006_Lancet_临床试验.png,01_academic/01_journal_paper/academic_paper_006_Lancet_临床试验__real_screenshot_compressed.png,screenshot_compressed,截图+转发压缩,无(纯数字),无,无,01_academic/01_journal_paper/academic_paper_006_Lancet_临床试验.png,true
01_academic/01_journal_paper/academic_paper_007_PNAS_生态学,01_academic,01_journal_paper,01_academic/01_journal_paper/academic_paper_007_PNAS_生态学.json,01_academic/01_journal_paper/academic_paper_007_PNAS_生态学.html,01_academic/01_journal_paper/academic_paper_007_PNAS_生态学.png,01_academic/01_journal_paper/academic_paper_007_PNAS_生态学.png,01_academic/01_journal_paper/academic_paper_007_PNAS_生态学__real_phone_flat_normal_top.jpg,phone_flat_indoor_normal_top,手机拍纸质文档,平整,室内正常光,俯拍,01_academic/01_journal_paper/academic_paper_007_PNAS_生态学.png,true
01_academic/01_journal_paper/academic_paper_008_机械工程学报_齿轮疲劳,01_academic,01_journal_paper,01_academic/01_journal_paper/academic_paper_008_机械工程学报_齿轮疲劳.json,01_academic/01_journal_paper/academic_paper_008_机械工程学报_齿轮疲劳.html,01_academic/01_journal_paper/academic_paper_008_机械工程学报_齿轮疲劳.png,01_academic/01_journal_paper/academic_paper_008_机械工程学报_齿轮疲劳.png,01_academic/01_journal_paper/academic_paper_008_机械工程学报_齿轮疲劳__real_phone_flat_normal_top.png,phone_flat_indoor_normal_top,手机拍纸质文档,平整,室内正常光,俯拍,01_academic/01_journal_paper/academic_paper_008_机械工程学报_齿轮疲劳.png,true
01_academic/01_journal_paper/academic_paper_009_PRL_粒子物理,01_academic,01_journal_paper,01_academic/01_journal_paper/academic_paper_009_PRL_粒子物理.json,01_academic/01_journal_paper/academic_paper_009_PRL_粒子物理.html,01_academic/01_journal_paper/academic_paper_009_PRL_粒子物理.png,01_academic/01_journal_paper/academic_paper_009_PRL_粒子物理.png,01_academic/01_journal_paper/academic_paper_009_PRL_粒子物理__real_screenshot_compressed.png,screenshot_compressed,截图+转发压缩,无(纯数字),无,无,01_academic/01_journal_paper/academic_paper_009_PRL_粒子物理.png,true
01_academic/01_journal_paper/academic_paper_010_经济研究_计量经济,01_academic,01_journal_paper,01_academic/01_journal_paper/academic_paper_010_经济研究_计量经济.json,01_academic/01_journal_paper/academic_paper_010_经济研究_计量经济.html,01_academic/01_journal_paper/academic_paper_010_经济研究_计量经济.png,01_academic/01_journal_paper/academic_paper_010_经济研究_计量经济.png,01_academic/01_journal_paper/academic_paper_010_经济研究_计量经济__real_phone_flat_normal_top.jpg,phone_flat_indoor_normal_top,手机拍纸质文档,平整,室内正常光,俯拍,01_academic/01_journal_paper/academic_paper_010_经济研究_计量经济.png,true
